Video_ID,Channel_ID,Video_Title,Published_At,Thumbnails,Comments,Likes,Views,Duration,Start_Time,End_Time,Scheduled_Time,Topic_Category
He8EDr2K5rE,UCaIrY40rwEf51POKMybW-Eg,"Lan , Linh, Tra, Mai| NIKA LAN LINH",2023-08-24T14:02:54Z,https://i.ytimg.com/vi/He8EDr2K5rE/default.jpg,9,523,1951,PT1H7M36S,2023-08-24T12:20:35Z,2023-08-24T13:28:23Z,2023-08-24T12:20:23Z,[]
9DenFJA1juY,UCaIrY40rwEf51POKMybW-Eg,Kỷ niệm một năm cầm đầu bầy cua một càng | 1st Anniversary | NIKA LAN LINH,2023-08-23T16:51:46Z,https://i.ytimg.com/vi/9DenFJA1juY/default.jpg,6,274,1799,PT3H11M8S,2023-08-23T13:05:38Z,2023-08-23T16:16:46Z,2023-08-23T13:05:27Z,['https://en.wikipedia.org/wiki/Video_game_culture']
zZLstTyAB2I,UCaIrY40rwEf51POKMybW-Eg,Game này chơi sao | Valorant | NIKA LAN LINH,2023-08-22T16:30:32Z,https://i.ytimg.com/vi/zZLstTyAB2I/default.jpg,2,203,1591,PT2H33M41S,2023-08-22T12:46:48Z,2023-08-22T15:20:24Z,2023-08-22T12:46:34Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
m5HLezZRDmg,UCaIrY40rwEf51POKMybW-Eg,Bà Hoàng sinh tồn và siêu thiện xạ | PUBG | NIKA LAN LINH,2023-08-21T17:30:31Z,https://i.ytimg.com/vi/m5HLezZRDmg/default.jpg,2,157,887,PT2H14M27S,2023-08-21T15:01:40Z,2023-08-21T17:16:09Z,2023-08-21T15:01:27Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
N5hgyERw6cY,UCaIrY40rwEf51POKMybW-Eg,Lan Linh đáng yêu bắt đầu hành trình vào thế giới bánh | DEBUT STREAM | NIKA LAN LINH,2023-08-21T04:44:16Z,https://i.ytimg.com/vi/N5hgyERw6cY/default.jpg,8,212,1431,PT1H34M17S,2023-08-20T15:01:56Z,2023-08-20T16:36:11Z,2023-08-20T15:01:45Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
gEayaHdwtAQ,UCaIrY40rwEf51POKMybW-Eg,Kinh Dị Đêm Khuya Cùn LInh | Freetalk | NIKA LAN LINH,2023-08-13T06:28:00Z,https://i.ytimg.com/vi/gEayaHdwtAQ/default.jpg,4,145,940,PT1H18M43S,2023-08-12T17:03:07Z,2023-08-12T18:21:49Z,2023-08-12T17:02:53Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
65WVgpoowOU,UCaIrY40rwEf51POKMybW-Eg,Tâm Sự Cùng Linh | Freetalk | NIKA LAN LINH,2023-08-11T17:25:37Z,https://i.ytimg.com/vi/65WVgpoowOU/default.jpg,5,248,1397,PT2H44M7S,2023-08-11T14:31:04Z,2023-08-11T17:15:15Z,2023-08-11T14:30:51Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
dCBPhoP5eW8,UCaIrY40rwEf51POKMybW-Eg,Đại náo Bandai Gashapon VietNam cùng Linh | NIKA LAN LINH,2023-08-09T05:31:50Z,https://i.ytimg.com/vi/dCBPhoP5eW8/default.jpg,3,228,1764,PT2H18M7S,2023-08-09T03:01:08Z,2023-08-09T05:19:15Z,2023-08-09T03:00:57Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
W_aN38_CMXw,UCaIrY40rwEf51POKMybW-Eg,Stream xàm | Freetalk | NIKA LAN LINH,2023-08-06T05:27:05Z,https://i.ytimg.com/vi/W_aN38_CMXw/default.jpg,7,153,1037,PT1H20M34S,2023-08-05T15:59:13Z,2023-08-05T17:19:49Z,2023-08-05T15:58:56Z,['https://en.wikipedia.org/wiki/Video_game_culture']
LgS45tUiy3k,UCaIrY40rwEf51POKMybW-Eg,Stream xàm | Freetalk | NIKA LAN LINH,2023-08-05T16:02:21Z,https://i.ytimg.com/vi/LgS45tUiy3k/default.jpg,2,100,571,PT17M24S,2023-08-05T15:37:28Z,2023-08-05T15:55:01Z,2023-08-05T15:37:10Z,['https://en.wikipedia.org/wiki/Video_game_culture']
WxW3lZ8vrBU,UCaIrY40rwEf51POKMybW-Eg,Stream xàm | Freetalk | NIKA LAN LINH,2023-08-05T15:35:41Z,https://i.ytimg.com/vi/WxW3lZ8vrBU/default.jpg,8,68,400,PT2M41S,2023-08-05T15:30:50Z,2023-08-05T15:33:31Z,2023-08-05T15:30:34Z,['https://en.wikipedia.org/wiki/Video_game_culture']
